capacity,certificate_group,test_years,units,unit_share,damage_units,damage_rate,damage_capture,cost_capture,aos_capture,median_support,median_boundary_excess
0.05,High certificate,31,7128,0.5200642054574639,4266,0.5984848484848485,0.18554279749478078,0.43765615968834026,0.4265162599493124,57.0,0.20873006135932717
0.05,Boundary,31,6102,0.44520647891434406,2939,0.48164536217633563,0.12782707028531662,0.19623950819829108,0.3443964760723212,26.0,0.07248155477089718
0.05,Unstable,31,476,0.03472931562819203,218,0.4579831932773109,0.009481558803061934,0.05143098297163482,0.0311118594411629,34.0,0.02568835541440087
0.1,High certificate,31,17668,0.6449352071545903,8591,0.4862463210323749,0.373651704940849,0.6703342863229313,0.6528886936115901,52.0,0.2528746306104434
0.1,Boundary,31,8975,0.3276145281985764,2821,0.3143175487465181,0.12269485038274182,0.169000006780158,0.28429291113173205,36.0,0.05347065806856415
0.1,Unstable,31,752,0.027450264646833363,173,0.2300531914893617,0.007524356297842728,0.008357720914367612,0.012299325310118283,35.0,0.02277268279390621


