test_year,candidate_rule,candidate_share,candidate_units,damage_rate,damage_lift,damage_capture,cost_capture,aos_capture
1995,Boundary-certificate expansion,0.005,13,0.7692307692307693,3.3660387231815805,0.017006802721088437,0.25938608475390595,0.0011966276856132717
1995,Boundary-excess expansion,0.005,13,0.7692307692307693,3.3660387231815805,0.017006802721088437,0.26105550444661013,0.0011966276856132717
1995,Posterior-mean expansion,0.005,13,0.7692307692307693,3.3660387231815805,0.017006802721088437,0.0020867746158801767,0.23617079140603753
1995,Random unselected expansion,0.005,13,0.20230769230769233,0.8852681841967557,0.004472789115646258,0.011700755728888616,0.00921104161000816
1995,Boundary-certificate expansion,0.01,26,0.7692307692307693,3.3660387231815805,0.034013605442176874,0.2625162466777262,0.2362795757410933
1995,Boundary-excess expansion,0.01,26,0.7692307692307693,3.3660387231815805,0.034013605442176874,0.26105550444661013,0.0018493336959477834
1995,Posterior-mean expansion,0.01,26,0.7692307692307693,3.3660387231815805,0.034013605442176874,0.038196322569070754,0.24117487081860212
1995,Random unselected expansion,0.01,26,0.1980769230769231,0.866754971219257,0.008758503401360545,0.016806935568509603,0.012791677998368237
1995,Boundary-certificate expansion,0.02,52,0.6923076923076923,3.029434850863422,0.061224489795918366,0.2888596894285976,0.2522708729942888
1995,Boundary-excess expansion,0.02,52,0.6923076923076923,3.029434850863422,0.061224489795918366,0.2888596894285976,0.2522708729942888
1995,Posterior-mean expansion,0.02,52,0.6730769230769231,2.945283882783883,0.05952380952380952,0.29670596198430704,0.24400326353005167
1995,Random unselected expansion,0.02,52,0.19673076923076924,0.8608644034536894,0.01739795918367347,0.033659813210925045,0.030102529235790047
1995,Boundary-certificate expansion,0.05,129,0.6666666666666666,2.9172335600907027,0.14625850340136054,0.4219157026130572,0.3531139515909709
1995,Boundary-excess expansion,0.05,129,0.6356589147286822,2.781548278226019,0.13945578231292516,0.31599102311097943,0.3465868914876258
1995,Posterior-mean expansion,0.05,129,0.5736434108527132,2.5101777144966517,0.12585034013605442,0.3222793947918457,0.27413652434049496
1995,Random unselected expansion,0.05,129,0.2012015503875969,0.8804278726994675,0.044141156462585034,0.10265309409335971,0.09329752515637749
1996,Boundary-certificate expansion,0.005,13,0.46153846153846156,2.029647435897436,0.010416666666666666,0.003978002592805261,0.0014167172637117992
1996,Boundary-excess expansion,0.005,13,0.38461538461538464,1.6913728632478633,0.008680555555555556,0.0011365721693729319,0.002226269985832827
1996,Posterior-mean expansion,0.005,13,0.46153846153846156,2.029647435897436,0.010416666666666666,0.003978002592805261,0.0014167172637117992
1996,Random unselected expansion,0.005,13,0.19576923076923078,0.8609087873931623,0.004418402777777778,0.009177723148482498,0.003789718680429063
1996,Boundary-certificate expansion,0.01,26,0.5384615384615384,2.3679220085470085,0.024305555555555556,0.006061718236655637,0.03865614248127909
1996,Boundary-excess expansion,0.01,26,0.5384615384615384,2.3679220085470085,0.024305555555555556,0.009902366526765682,0.1139445456385347
1996,Posterior-mean expansion,0.01,26,0.5384615384615384,2.3679220085470085,0.024305555555555556,0.006061718236655637,0.03865614248127909
1996,Random unselected expansion,0.01,26,0.19423076923076923,0.854143295940171,0.008767361111111111,0.014632147603431027,0.011980874316939892
1996,Boundary-certificate expansion,0.02,51,0.6274509803921569,2.759259259259259,0.05555555555555555,0.013558303340456641,0.15677494434325034
1996,Boundary-excess expansion,0.02,51,0.6078431372549019,2.673032407407407,0.05381944444444445,0.013558303340456641,0.15674964582068407
1996,Posterior-mean expansion,0.02,51,0.5490196078431373,2.414351851851852,0.04861111111111111,0.01946851561898786,0.3100839910949201
1996,Random unselected expansion,0.02,51,0.1961764705882353,0.8626996527777777,0.017369791666666665,0.037524738573601925,0.024952059299736894
1996,Boundary-certificate expansion,0.05,127,0.5905511811023622,2.596989829396325,0.13020833333333334,0.03685803281260174,0.46172333535721516
1996,Boundary-excess expansion,0.05,127,0.5748031496062992,2.52773676727909,0.1267361111111111,0.03534260325343783,0.4192218174458612
1996,Posterior-mean expansion,0.05,127,0.6062992125984252,2.6662428915135608,0.13368055555555555,0.3347718383166893,0.33674863387978143
1996,Random unselected expansion,0.05,127,0.19661417322834648,0.8646244805336833,0.04335069444444445,0.08682319754157072,0.05764622546043311
1997,Boundary-certificate expansion,0.005,17,0.7647058823529411,3.540991860367542,0.018544935805991442,0.04872004652793646,0.06312680149598608
1997,Boundary-excess expansion,0.005,17,0.8235294117647058,3.813375849626584,0.019971469329529243,0.05781480161673018,0.09199838014245218
1997,Posterior-mean expansion,0.005,17,0.7058823529411765,3.2686078711085007,0.017118402282453638,0.04700401989836067,0.05740965720955716
1997,Random unselected expansion,0.005,17,0.18941176470588236,0.8770764454141144,0.004593437945791726,0.0047398135919063285,0.006988613354296196
1997,Boundary-certificate expansion,0.01,33,0.7575757575757576,3.5079756192452343,0.03566333808844508,0.0619850001491706,0.12048881583648967
1997,Boundary-excess expansion,0.01,33,0.7575757575757576,3.5079756192452343,0.03566333808844508,0.0619850001491706,0.12048881583648967
1997,Posterior-mean expansion,0.01,33,0.7272727272727273,3.367656594475425,0.034236804564907276,0.0619850001491706,0.12048881583648967
1997,Random unselected expansion,0.01,33,0.1915151515151515,0.8868162365451953,0.009015691868758917,0.012648845177068817,0.015988351318516402
1997,Boundary-certificate expansion,0.02,65,0.6461538461538462,2.9920333589377814,0.05991440798858773,0.06263689890479547,0.2627027799614093
1997,Boundary-excess expansion,0.02,65,0.6,2.7783166904422254,0.05563480741797432,0.07142972473606606,0.27127849639105267
1997,Posterior-mean expansion,0.02,65,0.6307692307692307,2.9207944694392625,0.05848787446504993,0.06407691009956688,0.16755997046142118
1997,Random unselected expansion,0.02,65,0.1897692307692308,0.8787317019642269,0.017596291012838803,0.02276762051904324,0.03326401295886038
1997,Boundary-certificate expansion,0.05,163,0.5828220858895705,2.69877388130891,0.1355206847360913,0.25103264922391755,0.38150027394649705
1997,Boundary-excess expansion,0.05,163,0.588957055214724,2.7271820274279515,0.1369472182596291,0.11719346921168756,0.380499773696372
1997,Posterior-mean expansion,0.05,163,0.6257668711656442,2.8976309041421984,0.14550641940085593,0.24698530878944375,0.22527930631982657
1997,Random unselected expansion,0.05,163,0.18536809815950922,0.8583521349868286,0.04310271041369473,0.05770898916622807,0.07680209152195144
1998,Boundary-certificate expansion,0.005,17,0.6470588235294118,3.0088235294117647,0.015277777777777777,0.0032350046736859804,0.029994381161567146
1998,Boundary-excess expansion,0.005,17,0.6470588235294118,3.0088235294117647,0.015277777777777777,0.0032350046736859804,0.029994381161567146
1998,Posterior-mean expansion,0.005,17,0.5882352941176471,2.735294117647059,0.013888888888888888,0.004477077588524817,0.08883894365837462
1998,Random unselected expansion,0.005,17,0.1858823529411765,0.8643529411764704,0.004388888888888889,0.010887309524778541,0.010832354293303365
1998,Boundary-certificate expansion,0.01,34,0.6470588235294118,3.0088235294117647,0.030555555555555555,0.02784003650879327,0.14310670684987487
1998,Boundary-excess expansion,0.01,34,0.6176470588235294,2.8720588235294118,0.029166666666666667,0.03280299062527313,0.1427797926137815
1998,Posterior-mean expansion,0.01,34,0.6470588235294118,3.0088235294117647,0.030555555555555555,0.0069283174663751475,0.17710578740358585
1998,Random unselected expansion,0.01,34,0.1805882352941176,0.839735294117647,0.008527777777777778,0.015620806943075773,0.02692496296674669
1998,Boundary-certificate expansion,0.02,67,0.7014925373134329,3.261940298507463,0.06527777777777778,0.11793589210690832,0.396383511263217
1998,Boundary-excess expansion,0.02,67,0.6865671641791045,3.192537313432836,0.06388888888888888,0.091798211522821,0.3277315216836083
1998,Posterior-mean expansion,0.02,67,0.6567164179104478,3.053731343283582,0.06111111111111111,0.1194297369191836,0.3305920212494253
1998,Random unselected expansion,0.02,67,0.17925373134328357,0.8335298507462687,0.016680555555555556,0.03187552369635519,0.04361051233590438
1998,Boundary-certificate expansion,0.05,168,0.6369047619047619,2.9616071428571424,0.1486111111111111,0.2561658961701128,0.5673596567400521
1998,Boundary-excess expansion,0.05,168,0.625,2.90625,0.14583333333333334,0.2561658961701128,0.5673596567400521
1998,Posterior-mean expansion,0.05,168,0.625,2.90625,0.14583333333333334,0.1327214196262786,0.36937222250600193
1998,Random unselected expansion,0.05,168,0.18491071428571432,0.8598348214285714,0.043145833333333335,0.08925267487625241,0.11411620779486131
1999,Boundary-certificate expansion,0.005,25,0.44,2.5414150943396225,0.012971698113207548,0.02098617937154683,0.022525206779014612
1999,Boundary-excess expansion,0.005,25,0.52,3.003490566037736,0.015330188679245283,0.022357780909490626,0.07496484160846661
1999,Posterior-mean expansion,0.005,25,0.56,3.2345283018867925,0.01650943396226415,0.077277225819218,0.15088313112292326
1999,Random unselected expansion,0.005,25,0.1452,0.8386669811320755,0.00428066037735849,0.009382396924197779,0.011407050747264797
1999,Boundary-certificate expansion,0.01,49,0.5714285714285714,3.3005390835579513,0.0330188679245283,0.09023242207793293,0.2600767525564322
