rule,capacity,metric,point,lower,upper
catboost,0.05,damage_lift,6.867492881122928,6.292765818771178,7.464203942002995
catboost,0.05,damage_capture,0.34372825330549756,0.312840010333591,0.37032190437851437
catboost,0.05,cost_capture,0.6093944836380403,0.5297143180101836,0.6806018432142554
catboost,0.05,aos_capture,0.6437059423605619,0.6079336921262408,0.6737574293916122
hierarchical_eb_execution,0.05,damage_lift,6.450385885938946,5.806403107119948,7.0548164291184925
hierarchical_eb_execution,0.05,damage_capture,0.32285142658315935,0.2931198382950987,0.3504029680711328
hierarchical_eb_execution,0.05,cost_capture,0.6034526672527404,0.5269587895492153,0.6777684083376878
hierarchical_eb_execution,0.05,aos_capture,0.626537978730442,0.5826264621524768,0.6669100186778247
direct_full_cell,0.05,damage_lift,6.163624826749959,5.572226881361086,6.7607322109002155
direct_full_cell,0.05,damage_capture,0.30849860821155184,0.27551580094137257,0.3375012620497238
direct_full_cell,0.05,cost_capture,0.6031471162233538,0.525145666770362,0.6674949776932609
direct_full_cell,0.05,aos_capture,0.5762991860507349,0.5199113709349403,0.6232941254313544
tabm,0.05,damage_lift,6.528593447535942,6.045941712704561,7.067168103368861
tabm,0.05,damage_capture,0.3267658315935978,0.29737168287530596,0.353466808101804
tabm,0.05,cost_capture,0.611840606461381,0.5344719466110391,0.681808968284776
tabm,0.05,aos_capture,0.6508520381268212,0.6198229264221959,0.68343281233383
hierarchical_eb_execution minus direct_full_cell,0.05,paired_annual_lift_difference,0.2875441996462546,0.22567511765837503,0.35644669805317003
hierarchical_eb_execution minus catboost,0.05,paired_annual_lift_difference,-0.4104342532610092,-0.47230932860423713,-0.35199870442365494
catboost,0.1,damage_lift,5.322718618936375,5.009945572521734,5.637231136937882
catboost,0.1,damage_capture,0.5324895615866388,0.4942197937645431,0.5645289166458252
catboost,0.1,cost_capture,0.8030535381508397,0.749170984396202,0.8480191628204751
catboost,0.1,aos_capture,0.7846144178732123,0.7518547890589165,0.8124682079719879
hierarchical_eb_execution,0.1,damage_lift,5.036649121978102,4.687477085677008,5.342792405083702
hierarchical_eb_execution,0.1,damage_capture,0.5038709116214335,0.4733431239012131,0.5350480697120195
hierarchical_eb_execution,0.1,cost_capture,0.7670197881664257,0.721152157570911,0.810411066926022
hierarchical_eb_execution,0.1,aos_capture,0.7663818424198301,0.7281284320814568,0.7974111157928463
direct_full_cell,0.1,damage_lift,4.8914405931269425,4.544252327352499,5.197825796698132
direct_full_cell,0.1,damage_capture,0.48934411969380653,0.4529756314099913,0.5200729490061682
direct_full_cell,0.1,cost_capture,0.7683594362845665,0.7186705821715218,0.8089959111731265
direct_full_cell,0.1,aos_capture,0.7564098882512748,0.7150798707344272,0.7910512220425976
tabm,0.1,damage_lift,5.111427166775706,4.762522238615618,5.435015663021275
tabm,0.1,damage_capture,0.5113517745302714,0.47709226655647474,0.542434659434954
tabm,0.1,cost_capture,0.8142870120899666,0.7687942427405419,0.8518514745429835
tabm,0.1,aos_capture,0.769278499959879,0.7360398601826178,0.7990880752918577
hierarchical_eb_execution minus direct_full_cell,0.1,paired_annual_lift_difference,0.1492071076369259,0.11958364047869435,0.17926040656497239
hierarchical_eb_execution minus catboost,0.1,paired_annual_lift_difference,-0.28636237078319277,-0.32079774060280597,-0.24773060264136323


