train_start,train_end,test_year,rule,capacity,test_component_units,damage_units,selected_units,selected_damage_units,damage_capture,selected_hit_rate,overall_damage_rate,damage_lift,hard_consequence_units,selected_hard_consequence_units,hard_consequence_capture,total_event_cost,selected_event_cost,cost_capture,total_event_aos,selected_event_aos,aos_capture
1990,1994,1995,bayesian_posterior_mean,0.01,2573,588,26,18,0.030612244897959183,0.6923076923076923,0.22852701127089,3.029434850863422,911,21,0.02305159165751921,50556490.0,126925.0,0.002510557991664374,9192.5,2570.0,0.2795757410932826
1990,1994,1995,membership_probability,0.01,2573,588,26,21,0.03571428571428571,0.8076923076923077,0.22852701127089,3.5343406593406597,911,24,0.026344676180021953,50556490.0,161554.0,0.003195514562027546,9192.5,2573.0,0.27990209409844985
1990,1994,1995,boundary_excess,0.01,2573,588,26,21,0.03571428571428571,0.8076923076923077,0.22852701127089,3.5343406593406597,911,24,0.026344676180021953,50556490.0,161554.0,0.003195514562027546,9192.5,2573.0,0.27990209409844985
1990,1994,1995,membership_x_boundary_excess,0.01,2573,588,26,21,0.03571428571428571,0.8076923076923077,0.22852701127089,3.5343406593406597,911,24,0.026344676180021953,50556490.0,161554.0,0.003195514562027546,9192.5,2573.0,0.27990209409844985
1990,1994,1995,bayesian_posterior_mean,0.025,2573,588,65,49,0.08333333333333333,0.7538461538461538,0.22852701127089,3.2987179487179485,911,57,0.06256860592755215,50556490.0,7713409.0,0.15257010524267012,9192.5,3586.0,0.3901006255099266
1990,1994,1995,membership_probability,0.025,2573,588,65,49,0.08333333333333333,0.7538461538461538,0.22852701127089,3.2987179487179485,911,57,0.06256860592755215,50556490.0,7713409.0,0.15257010524267012,9192.5,3586.0,0.3901006255099266
1990,1994,1995,boundary_excess,0.025,2573,588,65,49,0.08333333333333333,0.7538461538461538,0.22852701127089,3.2987179487179485,911,57,0.06256860592755215,50556490.0,7713409.0,0.15257010524267012,9192.5,3584.0,0.38988305683981506
1990,1994,1995,membership_x_boundary_excess,0.025,2573,588,65,49,0.08333333333333333,0.7538461538461538,0.22852701127089,3.2987179487179485,911,57,0.06256860592755215,50556490.0,7713409.0,0.15257010524267012,9192.5,3584.0,0.38988305683981506
1990,1994,1995,bayesian_posterior_mean,0.05,2573,588,129,98,0.16666666666666666,0.7596899224806202,0.22852701127089,3.3242894056847545,911,111,0.12184412733260154,50556490.0,8888223.0,0.1758077548500697,9192.5,4430.0,0.48191460429698124
1990,1994,1995,membership_probability,0.05,2573,588,129,97,0.1649659863945578,0.751937984496124,0.22852701127089,3.2903680852185837,911,111,0.12184412733260154,50556490.0,8888223.0,0.1758077548500697,9192.5,4430.0,0.48191460429698124
1990,1994,1995,boundary_excess,0.05,2573,588,129,97,0.1649659863945578,0.751937984496124,0.22852701127089,3.2903680852185837,911,111,0.12184412733260154,50556490.0,8888223.0,0.1758077548500697,9192.5,4430.0,0.48191460429698124
1990,1994,1995,membership_x_boundary_excess,0.05,2573,588,129,98,0.16666666666666666,0.7596899224806202,0.22852701127089,3.3242894056847545,911,111,0.12184412733260154,50556490.0,8888223.0,0.1758077548500697,9192.5,4430.0,0.48191460429698124
1990,1994,1995,bayesian_posterior_mean,0.1,2573,588,258,172,0.2925170068027211,0.6666666666666666,0.22852701127089,2.9172335600907027,911,207,0.22722283205268934,50556490.0,24654038.0,0.4876532765625145,9192.5,4766.0,0.5184661408757139
1990,1994,1995,membership_probability,0.1,2573,588,258,172,0.2925170068027211,0.6666666666666666,0.22852701127089,2.9172335600907027,911,207,0.22722283205268934,50556490.0,24654038.0,0.4876532765625145,9192.5,4766.0,0.5184661408757139
1990,1994,1995,boundary_excess,0.1,2573,588,258,184,0.3129251700680272,0.7131782945736435,0.22852701127089,3.120761482887729,911,217,0.23819978046103182,50556490.0,24284260.0,0.4803391216439274,9192.5,5129.0,0.5579548545009518
