train_start,train_end,test_year,rule,capacity,test_component_units,damage_units,selected_units,selected_damage_units,damage_capture,selected_hit_rate,overall_damage_rate,damage_lift,hard_consequence_units,selected_hard_consequence_units,hard_consequence_capture,total_event_cost,selected_event_cost,cost_capture,total_event_aos,selected_event_aos,aos_capture
1990,1994,1995,hierarchical_eb_execution,0.05,2573,588,129,98,0.16666666666666666,0.7596899224806202,0.22852701127089,3.3242894056847545,911,111,0.12184412733260154,50556490.0,8888223.0,0.1758077548500697,9192.5,4430.0,0.48191460429698124
1990,1994,1995,hierarchical_eb_execution,0.1,2573,588,258,172,0.2925170068027211,0.6666666666666666,0.22852701127089,2.9172335600907027,911,207,0.22722283205268934,50556490.0,24654038.0,0.4876532765625145,9192.5,4766.0,0.5184661408757139
1990,1994,1995,bayesian_species_child,0.05,2573,588,129,98,0.16666666666666666,0.7596899224806202,0.22852701127089,3.3242894056847545,911,114,0.1251372118551043,50556490.0,8867123.0,0.17539039992689365,9192.5,4350.0,0.4732118574925211
1990,1994,1995,bayesian_species_child,0.1,2573,588,258,181,0.3078231292517007,0.7015503875968992,0.22852701127089,3.0698795021884724,911,218,0.23929747530186607,50556490.0,43761697.0,0.8655999852837885,9192.5,5020.0,0.5460973619798749
1990,1994,1995,compact_lightgbm,0.05,2573,588,129,96,0.16326530612244897,0.7441860465116279,0.22852701127089,3.2564467647524125,911,112,0.12294182217343579,50556490.0,8758580.0,0.17324343521474692,9192.5,4285.0,0.4661408757138972
1990,1994,1995,compact_lightgbm,0.1,2573,588,258,180,0.30612244897959184,0.6976744186046512,0.22852701127089,3.0529188419553868,911,211,0.23161361141602635,50556490.0,24744768.0,0.4894479027321715,9192.5,4864.0,0.5291270057111775
1990,1994,1995,compact_catboost,0.05,2573,588,129,100,0.17006802721088435,0.7751937984496124,0.22852701127089,3.3921320466170966,911,114,0.1251372118551043,50556490.0,21439680.0,0.42407374404354414,9192.5,4388.0,0.47734566222463964
1990,1994,1995,compact_catboost,0.1,2573,588,258,173,0.2942176870748299,0.6705426356589147,0.22852701127089,2.9341942203237883,911,205,0.22502744237102085,50556490.0,23307436.0,0.4610176853654199,9192.5,4722.0,0.5136796301332608
1991,1995,1996,hierarchical_eb_execution,0.05,2533,576,127,102,0.17708333333333334,0.8031496062992126,0.2273983418870904,3.531906167979003,900,112,0.12444444444444444,10811456.0,1872485.0,0.17319452625067336,19764.0,10820.0,0.5474600283343453
1991,1995,1996,hierarchical_eb_execution,0.1,2533,576,254,179,0.3107638888888889,0.7047244094488189,0.2273983418870904,3.0990745297462814,900,212,0.23555555555555555,10811456.0,5416951.0,0.501038065548248,19764.0,13701.5,0.6932554138838292
1991,1995,1996,bayesian_species_child,0.05,2533,576,127,100,0.1736111111111111,0.7874015748031497,0.2273983418870904,3.4626531058617673,900,110,0.12222222222222222,10811456.0,1893989.0,0.175183527547076,19764.0,10880.0,0.5504958510422991
1991,1995,1996,bayesian_species_child,0.1,2533,576,254,185,0.3211805555555556,0.7283464566929134,0.2273983418870904,3.2029541229221348,900,218,0.24222222222222223,10811456.0,4651459.0,0.43023428111810286,19764.0,15051.0,0.7615361262902246
1991,1995,1996,compact_lightgbm,0.05,2533,576,127,101,0.1753472222222222,0.7952755905511811,0.2273983418870904,3.497279636920385,900,112,0.12444444444444444,10811456.0,1892521.0,0.17504774565053957,19764.0,12132.0,0.6138433515482696
1991,1995,1996,compact_lightgbm,0.1,2533,576,254,178,0.3090277777777778,0.7007874015748031,0.2273983418870904,3.081761264216973,900,210,0.23333333333333334,10811456.0,2170441.0,0.20075381151252894,19764.0,15824.5,0.8006729407002631
1991,1995,1996,compact_catboost,0.05,2533,576,127,102,0.17708333333333334,0.8031496062992126,0.2273983418870904,3.531906167979003,900,111,0.12333333333333334,10811456.0,1840707.0,0.1702552366674757,19764.0,11578.0,0.585812588544829
1991,1995,1996,compact_catboost,0.1,2533,576,254,182,0.3159722222222222,0.7165354330708661,0.2273983418870904,3.151014326334208,900,213,0.23666666666666666,10811456.0,2801860.0,0.25915658353509463,19764.0,16082.5,0.8137269783444647
1992,1996,1997,hierarchical_eb_execution,0.05,3246,701,163,126,0.1797432239657632,0.7730061349693251,0.2159581022797289,3.579426410999186,1127,134,0.1188997338065661,15049883.0,7179119.0,0.47702158216113705,41979.0,12193.0,0.2904547511851164
1992,1996,1997,hierarchical_eb_execution,0.1,3246,701,325,227,0.3238231098430813,0.6984615384615385,0.2159581022797289,3.2342455832327444,1127,262,0.23247559893522626,15049883.0,10652375.0,0.7078045058556269,41979.0,18122.0,0.4316920364944377
1992,1996,1997,bayesian_species_child,0.05,3246,701,163,129,0.1840228245363766,0.7914110429447853,0.2159581022797289,3.6646508493563097,1127,144,0.12777284826974267,15049883.0,1864911.0,0.12391531548783469,41979.0,16067.0,0.38273898854189
1992,1996,1997,bayesian_species_child,0.1,3246,701,325,240,0.34236804564907275,0.7384615384615385,0.2159581022797289,3.419466695928893,1127,275,0.2440106477373558,15049883.0,8905337.0,0.5917213442788891,41979.0,18422.0,0.43883846685247385
1992,1996,1997,compact_lightgbm,0.05,3246,701,163,133,0.18972895863052783,0.8159509202453987,0.2159581022797289,3.778283433832474,1127,141,0.1251109139307897,15049883.0,7358968.0,0.48897177473074044,41979.0,14346.0,0.3417422997212892
1992,1996,1997,compact_lightgbm,0.1,3246,701,325,228,0.3252496433666191,0.7015384615384616,0.2159581022797289,3.2484933611324482,1127,264,0.23425022182786157,15049883.0,10147512.0,0.6742585307806047,41979.0,22082.0,0.526024917220515
1992,1996,1997,compact_catboost,0.05,3246,701,163,131,0.18687589158345222,0.803680981595092,0.2159581022797289,3.7214671415943923,1127,141,0.1251109139307897,15049883.0,4344454.0,0.2886702840148325,41979.0,15410.0,0.3670883060577908
1992,1996,1997,compact_catboost,0.1,3246,701,325,228,0.3252496433666191,0.7015384615384616,0.2159581022797289,3.2484933611324482,1127,269,0.23868677905944988,15049883.0,10663733.0,0.7085591961080362,41979.0,23679.0,0.5640677481597942
1993,1997,1998,hierarchical_eb_execution,0.05,3348,720,168,146,0.20277777777777778,0.8690476190476191,0.21505376344086022,4.041071428571429,1178,155,0.13157894736842105,37470425.0,27696276.0,0.739150303205795,24471.25,16519.0,0.6750370332533074
