rep,alpha,draws,method,capture,hit_rate,lift,brier,selected_cells
10200,2.0,500,Hierarchical shrinkage,0.12416851441241686,0.2879177377892031,2.479220697792395,0.013480415935354902,22
10201,2.0,500,Hierarchical shrinkage,0.16824644549763032,0.5157384987893463,3.3580035114696534,0.01507329405095767,21
10202,2.0,500,Hierarchical shrinkage,0.1561216105176664,0.4846938775510204,3.120440863280398,0.01571597186518812,24
10203,2.0,500,Hierarchical shrinkage,0.16838487972508592,0.49,3.362225085910653,0.01419186086506966,20
10204,2.0,500,Hierarchical shrinkage,0.11254019292604502,0.27202072538860106,2.2493460840011332,0.014902938807189412,25
10205,2.0,500,Hierarchical shrinkage,0.1523235800344234,0.44139650872817954,3.0457118820848055,0.016677865287783544,22
10206,2.0,500,Hierarchical shrinkage,0.18086500655307994,0.3719676549865229,3.6158376107929757,0.009240970611479616,25
10207,2.0,500,Hierarchical shrinkage,0.1291005291005291,0.3096446700507614,2.5770955872478716,0.016189093784970323,25
10208,2.0,500,Hierarchical shrinkage,0.13523956723338484,0.43640897755610975,2.7037795773317863,0.0208761230230329,24
10209,2.0,500,Hierarchical shrinkage,0.10808510638297872,0.3175,2.1598106382978726,0.013676367015010233,26
10210,2.0,500,Hierarchical shrinkage,0.1174468085106383,0.34413965087281795,2.346007322120231,0.017103422172117657,25
10211,2.0,500,Hierarchical shrinkage,0.1388888888888889,0.33248081841432225,2.77564649048025,0.013140120804094034,28
10212,2.0,500,Hierarchical shrinkage,0.14688128772635814,0.369620253164557,2.9376257545271636,0.014744184434362774,26
10213,2.0,500,Hierarchical shrinkage,0.1396761133603239,0.5012106537530266,2.787772887237651,0.016448629559258833,21
10214,2.0,500,Hierarchical shrinkage,0.11467889908256881,0.3125,2.288990825688073,0.016583111462857687,26
10215,2.0,500,Hierarchical shrinkage,0.12262357414448669,0.3324742268041237,2.449311081494257,0.014311204993199635,25
10216,2.0,500,Hierarchical shrinkage,0.16028955532574973,0.40575916230366493,3.2007558325257044,0.01201025682597097,24
10217,2.0,500,Hierarchical shrinkage,0.15301902398676592,0.4601990049751244,3.0592385467204917,0.01643616320074257,23
10218,2.0,500,Hierarchical shrinkage,0.14874141876430205,0.34210526315789475,2.970522702637601,0.01258354264917275,26
10219,2.0,500,Hierarchical shrinkage,0.11330049261083744,0.24533333333333332,2.265103448275862,0.012246642819572185,26
10220,2.0,500,Hierarchical shrinkage,0.13255360623781676,0.3460559796437659,2.64803654598753,0.015549657757493007,23
10221,2.0,500,Hierarchical shrinkage,0.1580619539316918,0.49257425742574257,3.1608478361736094,0.013313014141470224,18
10222,2.0,500,Hierarchical shrinkage,0.11840888066604996,0.3192019950124688,2.367291761345941,0.0145108386940925,22
10223,2.0,500,Hierarchical shrinkage,0.17569352708058125,0.6363636363636364,3.512189263840519,0.021034505408258842,19
10224,2.0,500,Hierarchical shrinkage,0.18098159509202455,0.4645669291338583,3.6129816595011515,0.014035124109028354,18
10225,2.0,500,Hierarchical shrinkage,0.12317880794701987,0.25067385444743934,2.4585958836864745,0.011959601278806907,26
10226,2.0,500,Hierarchical shrinkage,0.16146645865834633,0.5149253731343284,3.225714252450695,0.01816075073895397,21
10227,2.0,500,Hierarchical shrinkage,0.1719171917191719,0.4910025706940874,3.436134101842061,0.015244565793194149,21
10228,2.0,500,Hierarchical shrinkage,0.13288069835111543,0.35038363171355497,2.653535787021762,0.01692924913912907,24
10229,2.0,500,Hierarchical shrinkage,0.17691029900332225,0.5195121951219512,3.5321651405882832,0.017157785315384536,21
10500,5.0,500,Hierarchical shrinkage,0.14303638644918445,0.5533980582524272,2.856214444945244,0.01406780843801239,21
10501,5.0,500,Hierarchical shrinkage,0.17927823050058206,0.4052631578947368,3.5822621162918935,0.00894379507930378,22
10502,5.0,500,Hierarchical shrinkage,0.1705246913580247,0.5525,3.403672839506173,0.012472859993613946,18
10503,5.0,500,Hierarchical shrinkage,0.18053927315357562,0.4095744680851064,3.607904517223317,0.01154246415650645,21
10504,5.0,500,Hierarchical shrinkage,0.16177523264137436,0.5458937198067633,3.228861708491972,0.012468013273637205,19
10505,5.0,500,Hierarchical shrinkage,0.1391304347826087,0.41025641025641024,2.7822519509476034,0.013667906407885832,21
10506,5.0,500,Hierarchical shrinkage,0.19337979094076654,0.555,3.8642116724738678,0.012015775663573583,17
10507,5.0,500,Hierarchical shrinkage,0.13920704845814977,0.39303482587064675,2.783102110592412,0.014624911668869258,24
10508,5.0,500,Hierarchical shrinkage,0.1324599708879185,0.25,2.6466521106259098,0.007280463567472102,24
10509,5.0,500,Hierarchical shrinkage,0.16615067079463364,0.42036553524804177,3.318675278274014,0.010735439389022512,24
10510,5.0,500,Hierarchical shrinkage,0.16624472573839663,0.49373433583959897,3.320311326840307,0.01263887280897726,19
10511,5.0,500,Hierarchical shrinkage,0.12385919165580182,0.25,2.4745762711864407,0.008946471421756665,23
10512,5.0,500,Hierarchical shrinkage,0.14905450500556172,0.34536082474226804,2.974559361489857,0.008905175682811019,25
10513,5.0,500,Hierarchical shrinkage,0.14901960784313725,0.47738693467336685,2.974026997733767,0.014235067354702466,23
10514,5.0,500,Hierarchical shrinkage,0.1308016877637131,0.3229166666666667,2.612286831926864,0.011386680779313093,23
10515,5.0,500,Hierarchical shrinkage,0.1690929451287794,0.38917525773195877,3.378372450098706,0.010800684836552263,23
10516,5.0,500,Hierarchical shrinkage,0.13965406790518897,0.5215311004784688,2.7920790561810147,0.014878485264965739,22
10517,5.0,500,Hierarchical shrinkage,0.14421416234887738,0.42385786802030456,2.880622989049911,0.012389202574245512,22
10518,5.0,500,Hierarchical shrinkage,0.1456953642384106,0.495,2.9113576158940395,0.017858005603722065,19
10519,5.0,500,Hierarchical shrinkage,0.1279737489745693,0.3929471032745592,2.5575408674162037,0.013582081681269285,23
10520,5.0,500,Hierarchical shrinkage,0.16702977487291212,0.5542168674698795,3.338985571917299,0.011900883278998436,18
10521,5.0,500,Hierarchical shrinkage,0.17063492063492064,0.44675324675324674,3.4073799216656355,0.011749651305112975,22
10522,5.0,500,Hierarchical shrinkage,0.17062634989200864,0.40932642487046633,3.4098747747848566,0.010486178963662749,21
10523,5.0,500,Hierarchical shrinkage,0.13163064833005894,0.3471502590673575,2.630566894347344,0.012094772042042486,23
10524,5.0,500,Hierarchical shrinkage,0.1756633119853614,0.4860759493670886,3.5057060465331737,0.012500796906493443,24
10525,5.0,500,Hierarchical shrinkage,0.11758691206543967,0.2994791666666667,2.3471450025562377,0.011281071422070441,23
10526,5.0,500,Hierarchical shrinkage,0.1358313817330211,0.3036649214659686,2.715560896060424,0.008788076581935096,26
10527,5.0,500,Hierarchical shrinkage,0.12316034082106894,0.40253164556962023,2.4582180431222973,0.013573786491429823,22
10528,5.0,500,Hierarchical shrinkage,0.12941176470588237,0.3142857142857143,2.58218487394958,0.009996246645667421,25
10529,5.0,500,Hierarchical shrinkage,0.1493212669683258,0.4219948849104859,2.9860434435430676,0.012020408319604613,23
