draws,boundary_cells,boundary_damage_rate,hierarchical_lift
100,7.0,0.2711864406779661,2.1393646216911
100,11.0,0.417910447761194,2.8935701674395142
100,16.0,0.5305466237942122,3.903294741800332
100,6.0,0.4298245614035088,2.6035605038663956
100,12.0,0.5566343042071198,2.847293564075303
100,7.0,0.4015151515151515,3.3649213943950786
100,8.0,0.6026490066225165,2.7089991177335557
100,5.0,0.4461538461538462,2.121335481249274
100,0.0,,2.5912873794326576
100,6.0,0.48484848484848486,3.49942811115586
100,8.0,0.5153846153846153,2.491690784463062
100,2.0,0.5161290322580645,3.120412099265936
100,5.0,0.2571428571428571,2.5636401373851334
100,3.0,0.45161290322580644,2.5021565217391304
100,12.0,0.5964391691394659,4.334787389762375
100,8.0,0.49032258064516127,3.2548243443839686
100,14.0,0.45993031358885017,3.205827810829129
100,15.0,0.506578947368421,3.5347641065066973
100,2.0,0.5789473684210527,2.597156398104265
100,6.0,0.5922330097087378,2.6744615384615384
200,17.0,0.6796875,4.698013690499743
200,11.0,0.5133928571428571,2.9891013298339857
200,4.0,0.5428571428571428,3.4146488388333225
200,5.0,0.5454545454545454,3.06802714191205
200,5.0,0.32432432432432434,2.0735282651072127
200,5.0,0.4069767441860465,2.924795520777987
200,13.0,0.4684014869888476,3.0763125686620967
200,8.0,0.35064935064935066,2.349257478762835
200,6.0,0.6466165413533834,3.7435705549567464
200,7.0,0.37142857142857144,2.3835888249681356
200,3.0,0.6792452830188679,2.7169759591494027
200,6.0,0.4842105263157895,2.859008024530271
200,2.0,0.6086956521739131,3.196798896499239
200,14.0,0.5017064846416383,3.3509126271693592
200,6.0,0.29464285714285715,2.7067607134170557
200,8.0,0.6627906976744186,3.2347162871922417
200,3.0,0.41935483870967744,1.8699906708159972
200,5.0,0.5392156862745098,2.744836883811876
200,4.0,0.4246575342465753,2.0428213203875702
200,12.0,0.47346938775510206,3.3284067830295907
500,5.0,0.5784313725490197,3.0366087675765097
500,4.0,0.6578947368421053,3.2887741299463524
500,6.0,0.3700787401574803,2.671123027766081
500,1.0,0.5714285714285714,2.597485244874416
500,15.0,0.48606811145510836,3.282035570638512
500,7.0,0.7019867549668874,3.946376669285153
500,5.0,0.375,3.015375664893617
500,5.0,0.4608695652173913,3.154015259278417
500,6.0,0.42483660130718953,2.7758228138470336
500,7.0,0.29310344827586204,1.9115402657016973
500,10.0,0.4252336448598131,2.4853749885813463
500,4.0,0.4155844155844156,3.1475385429762457
500,6.0,0.45925925925925926,2.746885133981908
500,10.0,0.5314285714285715,3.3360204546935055
500,4.0,0.5230769230769231,2.9813968134013473
500,6.0,0.5203252032520326,3.9952879581151834
500,3.0,0.5370370370370371,2.941127217541473
500,7.0,0.4262295081967213,2.5308
500,6.0,0.6964285714285714,2.8733135239318988
500,12.0,0.4486301369863014,3.158631632544316
1000,3.0,0.673469387755102,2.579644911227807
1000,11.0,0.4147465437788018,2.9726022780885626
1000,15.0,0.6903553299492385,4.353068660839744
1000,5.0,0.48717948717948717,3.147617746637663
1000,13.0,0.5564516129032258,3.2085605234460193
1000,7.0,0.6754966887417219,3.209695988413957
1000,10.0,0.3723404255319149,2.6125682043650795
1000,7.0,0.4934210526315789,2.7779402709359604
1000,3.0,0.5957446808510638,2.698950777202073
1000,3.0,0.4782608695652174,2.5816316414400498
1000,11.0,0.4433497536945813,2.6235769897608687
1000,8.0,0.5133333333333333,2.6824177118294763
1000,8.0,0.4934210526315789,2.6877741810802975
1000,13.0,0.5663082437275986,3.305034982003478
1000,7.0,0.4972375690607735,3.2102751073146396
1000,1.0,0.6666666666666666,2.994559585492228
1000,4.0,0.4827586206896552,3.246147039587581
1000,9.0,0.4583333333333333,3.2322528242588975
1000,4.0,0.4583333333333333,2.734200656352555
1000,2.0,0.6363636363636364,3.1121883744258487
