draws,boundary_cells,boundary_damage_rate,hierarchical_lift
100,7.0,0.6274509803921569,3.0498721227621486
100,5.0,0.4117647058823529,3.2721649726532243
100,7.0,0.46226415094339623,3.045870357712463
100,14.0,0.4098939929328622,2.894434188034188
100,4.0,0.5303030303030303,2.761207311207311
200,10.0,0.5979899497487438,3.889718929396854
200,8.0,0.5666666666666667,2.8795127287191726
200,9.0,0.4888888888888889,2.9064082451297737
200,7.0,0.6282051282051282,3.1111780906498545
200,4.0,0.4444444444444444,2.334818490315988
500,6.0,0.38461538461538464,3.0802732784775
500,4.0,0.4,2.506482649239471
500,7.0,0.45454545454545453,2.963347659021837
500,7.0,0.4661016949152542,3.0841017905161667
500,6.0,0.4166666666666667,2.7522289854969704
1000,14.0,0.5637583892617449,3.673751460461879
1000,15.0,0.583596214511041,4.227219906530252
1000,13.0,0.5968253968253968,3.815643833610974
1000,1.0,0.4666666666666667,2.271795888690594
1000,6.0,0.4725274725274725,2.7035495670349357
