rep,alpha,draws,method,capture,hit_rate,lift,brier,selected_cells
10200,2.0,200,Hierarchical shrinkage,0.17668825161887142,0.4872448979591837,3.531060620362854,0.016241676058525265,21
10201,2.0,200,Hierarchical shrinkage,0.16423357664233576,0.45112781954887216,3.2789089512101417,0.014264173234649617,22
10202,2.0,200,Hierarchical shrinkage,0.14713896457765668,0.4090909090909091,2.937577408967055,0.013541789692825833,22
10203,2.0,200,Hierarchical shrinkage,0.1495798319327731,0.4506329113924051,2.9874311243484737,0.01810687761528932,21
10204,2.0,200,Hierarchical shrinkage,0.17779960707269155,0.4738219895287958,3.5471487054999535,0.013945809602566285,25
10500,5.0,200,Hierarchical shrinkage,0.18839103869653767,0.4830287206266319,3.758966886994624,0.009876559285483739,22
10501,5.0,200,Hierarchical shrinkage,0.1607883817427386,0.39948453608247425,3.215767634854772,0.011533169159319805,22
10502,5.0,200,Hierarchical shrinkage,0.15591915303176132,0.42077922077922075,3.11514318213067,0.010092564002121083,21
10503,5.0,200,Hierarchical shrinkage,0.16417910447761194,0.3482849604221636,3.2783838065608637,0.009126119888052694,25
10504,5.0,200,Hierarchical shrinkage,0.1957040572792363,0.43617021276595747,3.909396739958361,0.00848167354040696,20
11000,10.0,200,Hierarchical shrinkage,0.13411078717201166,0.3556701030927835,2.675648462625109,0.009995756872328908,25
11001,10.0,200,Hierarchical shrinkage,0.15478424015009382,0.4219948849104859,3.095684803001876,0.009475070471133926,20
11002,10.0,200,Hierarchical shrinkage,0.13612565445026178,0.3341902313624679,2.718313840024765,0.009723149768805315,21
11003,10.0,200,Hierarchical shrinkage,0.16805721096543505,0.3780160857908847,3.360693663783324,0.008801439751149909,24
11004,10.0,200,Hierarchical shrinkage,0.11877828054298642,0.27631578947368424,2.3749404620147656,0.010415602809915889,26
12000,20.0,200,Hierarchical shrinkage,0.18012422360248448,0.5024752475247525,3.594013283315909,0.012564771703907296,19
12001,20.0,200,Hierarchical shrinkage,0.15263157894736842,0.4416243654822335,3.0526315789473686,0.011652283989797327,19
12002,20.0,200,Hierarchical shrinkage,0.11087113030957524,0.3710843373493976,2.213682375289495,0.015763799505141715,24
12003,20.0,200,Hierarchical shrinkage,0.13906678865507777,0.3781094527363184,2.776838588393804,0.011994400212666345,23
12004,20.0,200,Hierarchical shrinkage,0.1351805205709488,0.3955773955773956,2.7026139948054304,0.011752364932471311,21
15000,50.0,200,Hierarchical shrinkage,0.14285714285714285,0.32894736842105265,2.8548872180451133,0.013186394289844987,21
15001,50.0,200,Hierarchical shrinkage,0.11418376449598573,0.3248730964467005,2.2793281922866186,0.015568227683504444,24
15002,50.0,200,Hierarchical shrinkage,0.17258883248730963,0.5833333333333334,3.4500846023688663,0.012341185316270162,16
15003,50.0,200,Hierarchical shrinkage,0.08505917159763314,0.28255528255528256,1.697421601267755,0.016126037703438317,25
15004,50.0,200,Hierarchical shrinkage,0.08581138487680544,0.2525,1.7127952421410366,0.014039660979157018,28
